Attendance,Marks
25,39
3,36
0,23
52,82
47,48
15,29
29,69
2,4
2,50
49,65
1,6
0,7
6,17
29,91
38,90
0,8
69,71
11,30
4,86
19,41
54,58
42,69
51,80
8,90
26,59
58,63
12,26
18,86
3,81
40,53
4,45
62,70
14,41
25,64
23,40
58,63
8,62
3,4
49,58
40,71
38,63
8,49
8,17
39,55
77,95
3,39
20,35
1,4
61,83
4,8
8,38
7,54
6,27
4,5
55,60
29,92
58,97
29,61
33,47
15,26
1,2
35,75
73,89
56,70
33,36
47,70
17,41
33,76
88,91
13,98
58,75
43,68
73,94
15,85
4,42
0,2
25,52
17,35
9,15
4,96
26,68
60,82
16,62
25,76
5,33
18,33
30,33
35,36
21,82
40,45
83,99
12,55
7,45
9,84
80,95
2,6
9,19
11,43
84,92
15,25
